Order_ID,Order_Date,Customer_ID,Age,Gender,Product,Category,Quantity,Unit_Price,Sales
ORD100203,2024-01-01,CUST1049,56.0,Male,Headphones,Electronics,1,779.94,779.94
ORD100461,2024-01-01,CUST1079,39.0,Male,Headphones,Electronics,5,1130.92,5654.6
ORD100146,2024-01-01,CUST1227,59.0,Male,Tablet,Electronics,3,1018.95,3056.85
ORD100404,2024-01-02,CUST1066,55.0,Female,Perfume,Beauty,3,22.33,66.99
ORD100738,2024-01-02,CUST1141,56.0,Male,Hair Dryer,Beauty,1,14.77,14.77
ORD100166,2024-01-03,CUST1005,32.0,Male,Moisturizer,Beauty,3,63.36,190.08
ORD100956,2024-01-04,CUST1034,18.0,Male,Vacuum Cleaner,Home,4,398.56,1594.24
ORD100844,2024-01-05,CUST1165,34.0,Female,Football,Sports,2,245.51,491.02
ORD101056,2024-01-07,CUST1136,32.0,Male,Desk Lamp,Home,4,174.59,698.36
ORD100098,2024-01-07,CUST1269,38.0,Male,Vacuum Cleaner,Home,4,298.96,1195.84
ORD100014,2024-01-08,CUST1109,54.0,Male,Laptop,Electronics,1,334.61,334.61
ORD100747,2024-01-08,CUST1226,22.0,Male,Desk Lamp,Home,3,373.44,1120.32
ORD100692,2024-01-09,CUST1106,29.0,Female,Desk Lamp,Home,2,186.08,372.16
ORD100467,2024-01-10,CUST1288,30.0,Female,Coffee Maker,Home,1,348.62,348.62
ORD100405,2024-01-10,CUST1314,25.0,Female,Coffee Maker,Home,4,349.54,1398.16
ORD100891,2024-01-11,CUST1200,38.0,Female,Hair Dryer,Beauty,2,147.01,294.02
ORD100728,2024-01-12,CUST1246,30.0,Female,Shampoo,Beauty,2,49.99,99.98
ORD100296,2024-01-13,CUST1230,55.0,Male,Jeans,Clothing,2,40.12,80.24
ORD100052,2024-01-13,CUST1166,22.0,,Moisturizer,Beauty,4,67.85,271.4
ORD100848,2024-01-13,CUST1011,26.0,Male,Dumbbells,Sports,3,247.68,743.04
ORD100498,2024-01-13,CUST1066,44.0,Male,Laptop,Electronics,1,168.73,168.73
ORD100216,2024-01-14,CUST1079,44.0,Male,Smartwatch,Electronics,5,290.62,1453.1
ORD100708,2024-01-14,CUST1144,36.0,Female,Perfume,Beauty,1,29.04,29.04
ORD101189,2024-01-14,CUST1281,29.0,Male,Coffee Maker,Home,3,343.25,1029.75
ORD100548,2024-01-14,CUST1062,65.0,Male,T-Shirt,Clothing,1,47.37,47.37
ORD100073,2024-01-15,CUST1318,56.0,Male,Laptop,Electronics,2,697.92,1395.84
ORD100867,2024-01-16,CUST1121,19.0,Male,Laptop,Electronics,1,326.67,326.67
ORD100400,2024-01-16,CUST1125,38.0,Male,Hair Dryer,Beauty,1,97.76,97.76
ORD101163,2024-01-17,CUST1053,44.0,Female,Vacuum Cleaner,Home,1,335.08,335.08
ORD100298,2024-01-18,CUST1010,51.0,Female,Tablet,Electronics,4,825.77,3303.08
ORD100664,2024-01-18,CUST1276,49.0,Male,Tablet,Electronics,1,1032.04,1032.04
ORD100788,2024-01-18,CUST1042,35.0,Male,Coffee Maker,Home,1,200.52,200.52
ORD101127,2024-01-19,CUST1044,64.0,Male,Tablet,Electronics,1,371.19,371.19
ORD100674,2024-01-19,CUST1026,24.0,Female,Backpack,Clothing,1,97.5,97.5
ORD101053,2024-01-19,CUST1331,31.0,Female,Football,Sports,3,267.05,801.15
ORD101169,2024-01-19,CUST1156,26.0,Male,Laptop,Electronics,1,96.44,96.44
ORD100726,2024-01-19,CUST1070,30.0,Male,Shampoo,Beauty,1,37.03,37.03
ORD100758,2024-01-20,CUST1323,23.0,Male,Backpack,Clothing,1,84.37,84.37
ORD100123,2024-01-21,CUST1108,57.0,Female,Coffee Maker,Home,2,119.55,239.1
ORD100230,2024-01-22,CUST1350,46.0,Female,Backpack,Clothing,2,108.48,216.96
ORD100179,2024-01-24,CUST1327,65.0,Female,Football,Sports,1,251.43,251.43
ORD101119,2024-01-25,CUST1168,32.0,Female,Coffee Maker,Home,1,354.4,354.4
ORD100796,2024-01-25,CUST1258,18.0,Female,Running Shoes,Sports,2,64.05,128.1
ORD100893,2024-01-26,CUST1212,27.0,Male,Moisturizer,Beauty,1,34.95,34.95
ORD100427,2024-01-27,CUST1301,45.0,Female,Office Chair,Home,3,175.21,525.63
ORD100189,2024-01-27,CUST1326,60.0,Male,Jacket,Clothing,1,163.05,163.05
ORD100976,2024-01-28,CUST1021,35.0,Female,Coffee Maker,Home,4,158.3,633.2
ORD101081,2024-01-30,CUST1069,32.0,Male,Shampoo,Beauty,1,31.7,31.7
ORD100483,2024-02-01,CUST1325,46.0,Male,Sneakers,Clothing,1,158.84,158.84
ORD100456,2024-02-01,CUST1007,43.0,Female,Jeans,Clothing,1,110.89,110.89
ORD100139,2024-02-04,CUST1066,28.0,Male,Coffee Maker,Home,4,187.28,749.12
ORD101043,2024-02-06,CUST1130,36.0,Female,Coffee Maker,Home,2,158.81,317.62
ORD100786,2024-02-08,CUST1143,54.0,Male,Running Shoes,Sports,4,91.62,366.48
ORD100884,2024-02-09,CUST1185,36.0,Male,Smartphone,Electronics,4,1131.88,4527.52
ORD100513,2024-02-10,CUST1243,29.0,Female,Dumbbells,Sports,2,25.24,50.48
ORD100832,2024-02-11,CUST1215,48.0,Female,Backpack,Clothing,3,130.05,390.15
ORD101065,2024-02-11,CUST1181,33.0,Male,Desk Lamp,Home,2,300.14,600.28
ORD101160,2024-02-11,CUST1127,26.0,Male,Smartwatch,Electronics,1,445.94,445.94
ORD100934,2024-02-11,CUST1279,19.0,Male,Backpack,Clothing,1,18.58,18.58
ORD100459,2024-02-12,CUST1161,42.0,Female,Tablet,Electronics,2,581.68,1163.36
ORD100426,2024-02-13,CUST1216,54.0,Female,Jeans,Clothing,2,46.49,92.98
ORD101032,2024-02-13,CUST1235,26.0,Female,Jacket,Clothing,5,85.36,426.8
ORD101047,2024-02-14,CUST1214,19.0,Male,Headphones,Electronics,5,1088.13,5440.65
ORD100419,2024-02-14,CUST1116,46.0,Male,Jeans,Clothing,1,55.25,55.25
ORD100588,2024-02-15,CUST1032,55.0,Female,Headphones,Electronics,2,941.24,1882.48
ORD101083,2024-02-18,CUST1334,45.0,Male,Coffee Maker,Home,2,118.03,236.06
ORD100581,2024-02-18,CUST1300,23.0,Male,Sneakers,Clothing,4,108.98,435.92
ORD100182,2024-02-19,CUST1297,42.0,Male,Tablet,Electronics,1,337.77,337.77
ORD100670,2024-02-20,CUST1328,19.0,Male,Office Chair,Home,4,324.83,1299.32
ORD101007,2024-02-20,CUST1285,37.0,Female,Jeans,Clothing,1,95.01,95.01
ORD100775,2024-02-20,CUST1297,65.0,Male,Moisturizer,Beauty,2,65.62,131.24
ORD100322,2024-02-21,CUST1047,34.0,Female,Moisturizer,Beauty,4,58.19,232.76
ORD100381,2024-02-23,CUST1221,48.0,Male,Tablet,Electronics,4,42.69,170.76
ORD101064,2024-02-24,CUST1323,65.0,Female,Bookshelf,Home,2,180.4,360.8
ORD101140,2024-02-24,CUST1206,36.0,Male,Backpack,Clothing,3,91.47,274.41
ORD100294,2024-02-25,CUST1258,42.0,Male,Office Chair,Home,2,333.32,666.64
ORD100480,2024-02-25,CUST1314,63.0,Male,Backpack,Clothing,2,124.89,249.78
ORD100842,2024-02-26,CUST1094,47.0,Female,Jeans,Clothing,1,48.54,48.54
ORD101125,2024-02-26,CUST1321,53.0,Male,Jeans,Clothing,2,44.58,89.16
ORD101191,2024-02-26,CUST1108,47.0,Female,Tablet,Electronics,2,919.59,1839.18
ORD100797,2024-02-26,CUST1152,32.0,Male,Running Shoes,Sports,1,292.14,292.14
ORD100784,2024-02-26,CUST1174,55.0,Female,Office Chair,Home,1,118.57,118.57
ORD101086,2024-02-27,CUST1101,47.0,Female,Jacket,Clothing,3,107.23,321.69
ORD100416,2024-02-27,CUST1209,36.0,Male,Bookshelf,Home,2,169.5,339.0
ORD100131,2024-02-28,CUST1273,55.0,Male,Vacuum Cleaner,Home,2,247.57,495.14
ORD100280,2024-02-28,CUST1193,31.0,Female,Face Wash,Beauty,1,85.44,85.44
ORD100996,2024-02-28,CUST1226,34.0,Female,Tablet,Electronics,1,80.61,80.61
ORD100380,2024-03-01,CUST1215,28.0,Female,Desk Lamp,Home,2,49.58,99.16
ORD101050,2024-03-02,CUST1279,30.0,,Smartwatch,Electronics,3,444.71,1334.13
ORD100967,2024-03-03,CUST1222,62.0,Female,Hair Dryer,Beauty,2,58.55,117.1
ORD100384,2024-03-05,CUST1042,48.0,Male,Running Shoes,Sports,1,195.38,195.38
ORD100335,2024-03-05,CUST1217,25.0,Female,Laptop,Electronics,4,915.36,3661.44
ORD100015,2024-03-07,CUST1129,58.0,Female,Headphones,Electronics,2,76.09,152.18
ORD100320,2024-03-08,CUST1144,53.0,Male,Coffee Maker,Home,2,243.31,486.62
ORD100908,2024-03-08,CUST1015,56.0,Male,Bookshelf,Home,4,41.31,165.24
ORD100620,2024-03-08,CUST1069,39.0,Female,Hair Dryer,Beauty,1,139.87,139.87
ORD100682,2024-03-09,CUST1289,37.0,Female,Coffee Maker,Home,2,74.22,148.44
ORD100435,2024-03-09,CUST1243,35.0,Female,Smartphone,Electronics,1,779.03,779.03
ORD100247,2024-03-09,CUST1053,35.0,Female,Coffee Maker,Home,3,160.88,482.64
ORD100001,2024-03-09,CUST1335,21.0,Female,Bookshelf,Home,3,58.48,175.44
ORD100981,2024-03-09,CUST1297,48.0,Female,Bookshelf,Home,2,124.07,248.14
ORD101085,2024-03-09,CUST1121,31.0,Male,Cricket Bat,Sports,2,228.58,457.16
ORD100783,2024-03-10,CUST1314,57.0,Male,Office Chair,Home,2,22.96,45.92
ORD100606,2024-03-11,CUST1231,22.0,Male,Sneakers,Clothing,4,20.31,81.24
ORD100311,2024-03-11,CUST1236,40.0,Male,Desk Lamp,Home,2,140.44,280.88
