Customer_ID,Recency,Frequency,Monetary,Cluster,Segment
CUST1001,12,5,790.03,0,Regular Customers
CUST1002,20,24,7110.37,1,High-Value Customers
CUST1003,26,10,1378.33,0,Regular Customers
CUST1004,52,14,1934.23,0,Regular Customers
CUST1005,7,7,843.56,0,Regular Customers
CUST1006,111,7,816.4200000000001,0,Regular Customers
CUST1007,77,4,362.63,0,Regular Customers
CUST1008,24,20,6167.39,1,High-Value Customers
CUST1009,2,15,2211.44,0,Regular Customers
CUST1010,14,28,8883.13,1,High-Value Customers
CUST1011,68,15,1942.04,0,Regular Customers
CUST1012,41,5,375.92,0,Regular Customers
CUST1013,2,17,4569.53,1,High-Value Customers
CUST1014,9,14,2303.86,0,Regular Customers
CUST1015,7,5,540.89,0,Regular Customers
CUST1016,215,6,594.71,2,At-Risk Customers
CUST1017,12,11,1863.68,0,Regular Customers
CUST1018,122,5,195.92,0,Regular Customers
CUST1019,39,8,1451.48,0,Regular Customers
CUST1020,30,20,6038.09,1,High-Value Customers
CUST1021,39,8,1093.56,0,Regular Customers
CUST1022,46,2,81.32,0,Regular Customers
CUST1023,33,14,1638.16,0,Regular Customers
CUST1024,30,7,1538.34,0,Regular Customers
CUST1025,7,9,1291.42,0,Regular Customers
CUST1026,10,14,2342.03,0,Regular Customers
CUST1027,4,28,5992.64,1,High-Value Customers
CUST1028,30,26,9223.35,1,High-Value Customers
CUST1029,503,5,372.74,2,At-Risk Customers
CUST1030,107,3,159.54,0,Regular Customers
CUST1031,85,5,454.94,0,Regular Customers
CUST1032,75,5,259.8,0,Regular Customers
CUST1033,46,4,303.91,0,Regular Customers
CUST1034,35,8,1458.09,0,Regular Customers
CUST1035,57,7,1240.8799999999999,0,Regular Customers
CUST1036,91,4,337.53999999999996,0,Regular Customers
CUST1037,43,5,836.29,0,Regular Customers
CUST1038,132,6,308.0,0,Regular Customers
CUST1039,65,7,770.85,0,Regular Customers
CUST1040,140,4,396.52,0,Regular Customers
CUST1041,27,7,536.2,0,Regular Customers
CUST1042,2,27,7018.37,1,High-Value Customers
CUST1043,1,15,1872.33,0,Regular Customers
CUST1044,6,11,874.35,0,Regular Customers
CUST1045,11,20,7369.15,1,High-Value Customers
CUST1046,24,15,2198.91,0,Regular Customers
CUST1047,16,28,9726.32,1,High-Value Customers
CUST1048,2,14,1884.57,0,Regular Customers
CUST1049,190,2,141.95,2,At-Risk Customers
CUST1050,48,7,1031.41,0,Regular Customers
CUST1051,119,7,1041.15,0,Regular Customers
CUST1052,73,13,1472.74,0,Regular Customers
CUST1053,24,11,1888.01,0,Regular Customers
CUST1054,43,6,772.9300000000001,0,Regular Customers
CUST1055,32,7,726.62,0,Regular Customers
CUST1056,53,4,458.96,0,Regular Customers
CUST1057,45,12,1588.07,0,Regular Customers
CUST1058,328,2,380.14,2,At-Risk Customers
CUST1059,26,14,2013.73,0,Regular Customers
CUST1060,12,9,1248.87,0,Regular Customers
CUST1061,65,6,591.7,0,Regular Customers
CUST1062,35,2,163.18,0,Regular Customers
CUST1063,6,6,606.89,0,Regular Customers
CUST1064,127,3,212.59,0,Regular Customers
CUST1065,54,6,1363.9099999999999,0,Regular Customers
CUST1066,73,3,257.8,0,Regular Customers
CUST1067,24,12,2145.38,0,Regular Customers
CUST1068,7,22,5719.0199999999995,1,High-Value Customers
CUST1069,18,12,2034.3899999999999,0,Regular Customers
CUST1070,33,7,1162.92,0,Regular Customers
CUST1071,47,7,573.37,0,Regular Customers
CUST1072,18,8,1022.65,0,Regular Customers
CUST1073,44,10,976.66,0,Regular Customers
CUST1074,3,15,2611.26,0,Regular Customers
CUST1075,130,4,627.76,0,Regular Customers
CUST1076,28,15,2195.78,0,Regular Customers
CUST1077,12,6,527.41,0,Regular Customers
CUST1078,6,12,1658.29,0,Regular Customers
CUST1079,130,10,1396.23,0,Regular Customers
CUST1080,56,13,1507.76,0,Regular Customers
CUST1081,1,7,1155.35,0,Regular Customers
CUST1082,92,11,1248.0500000000002,0,Regular Customers
CUST1083,4,6,456.72,0,Regular Customers
CUST1084,136,5,581.61,0,Regular Customers
CUST1085,28,11,1841.02,0,Regular Customers
CUST1086,59,10,1643.37,0,Regular Customers
CUST1087,228,4,298.06,2,At-Risk Customers
CUST1088,158,4,270.03999999999996,2,At-Risk Customers
CUST1089,5,25,5167.69,1,High-Value Customers
CUST1090,90,14,4521.9,0,Regular Customers
CUST1091,2,22,7255.88,1,High-Value Customers
CUST1092,196,2,135.42000000000002,2,At-Risk Customers
CUST1093,19,5,1081.11,0,Regular Customers
CUST1094,28,8,771.03,0,Regular Customers
CUST1095,3,19,6102.2,1,High-Value Customers
