Invoice_No,Invoice_Date,Customer_ID,Product,Quantity,Unit_Price,Country
INV500067,2025-01-01 00:00:00,CUST1006,Webcam,3,35.35,India
INV500339,2025-01-01 00:00:00,CUST1028,Mechanical Keyboard,6,84.93,Singapore
INV500339,2025-01-01 00:00:00,CUST1028,Mini Tripod,5,18.19,Singapore
INV500339,2025-01-01 00:00:00,CUST1028,Bluetooth Speaker,6,53.11,Singapore
INV500417,2025-01-01 00:00:00,CUST1041,HDMI Cable,1,7.34,United Kingdom
INV500417,2025-01-01 00:00:00,CUST1041,Webcam,1,42.2,India
INV500594,2025-01-01 00:00:00,CUST1054,Webcam,3,39.17,UAE
INV500664,2025-01-01 00:00:00,CUST1065,Charging Cable,4,6.72,UAE
INV500781,2025-01-01 00:00:00,CUST1077,Bluetooth Speaker,3,40.77,UAE
INV500806,2025-01-01 00:00:00,CUST1079,Portable SSD,1,77.44,Singapore
INV500916,2025-01-01 00:00:00,CUST1090,Desk Lamp,5,34.77,India
INV500916,2025-01-01 00:00:00,CUST1090,Backpack,4,60.91,UAE
INV501004,2025-01-01 00:00:00,CUST1099,Charging Cable,2,5.94,India
INV501004,2025-01-01 00:00:00,CUST1099,Webcam,1,44.65,India
INV501134,2025-01-01 00:00:00,CUST1112,Bluetooth Speaker,2,39.4,India
INV501134,2025-01-01 00:00:00,CUST1112,HDMI Cable,1,9.05,Singapore
INV501134,2025-01-01 00:00:00,CUST1112,Backpack,1,39.98,India
INV501312,2025-01-01 00:00:00,CUST1132,Smartwatch Strap,3,13.91,India
INV501312,2025-01-01 00:00:00,CUST1132,Backpack,4,48.13,India
INV501312,2025-01-01 00:00:00,CUST1132,Portable SSD,3,113.36,India
INV501337,2025-01-01 00:00:00,CUST1134,Notebook Set,4,7.91,India
INV501358,2025-01-01 00:00:00,CUST1135,Power Bank,3,34.06,Singapore
INV501358,2025-01-01 00:00:00,CUST1135,Wireless Mouse,2,24.13,Singapore
INV501462,2025-01-01 00:00:00,CUST1145,Phone Case,2,9.73,UAE
INV501539,2025-01-01 00:00:00,CUST1155,Power Bank,2,47.21,India
INV501906,2025-01-01 00:00:00,CUST1190,HDMI Cable,4,9.05,United Kingdom
INV501906,2025-01-01 00:00:00,CUST1190,Notebook Set,1,7.39,India
INV501906,2025-01-01 00:00:00,CUST1190,Bluetooth Speaker,1,44.28,United Kingdom
INV501937,2025-01-01 00:00:00,CUST1193,Portable SSD,2,93.0,India
INV501937,2025-01-01 00:00:00,CUST1193,Headphones,3,45.19,India
INV502034,2025-01-01 00:00:00,CUST1203,USB-C Hub,4,26.56,UAE
INV502034,2025-01-01 00:00:00,CUST1203,Webcam,2,37.01,India
INV502034,2025-01-01 00:00:00,CUST1203,Power Bank,4,25.85,United Kingdom
INV502072,2025-01-01 00:00:00,CUST1207,Gaming Mouse Pad,1,19.43,UAE
